ID | Numero | Tipo | Valor | Data
1 | 1 | SAQUE | R$ 100.0 | 2025-09-24 09:20:09
2 | 1 | DEPOSITO | R$ 100.0 | 2025-09-24 09:20:12
3 | 1 | TRANSACAO | R$ 5000.0 | 2025-09-24 09:20:18
4 | 1 | SAQUE | R$ 100.0 | 2025-09-24 10:12:53
5 | 1 | SAQUE | R$ 100.0 | 2025-09-24 10:12:53
6 | 1 | SAQUE | R$ 100.0 | 2025-09-24 10:12:58
7 | 1 | DEPOSITO | R$ 200.0 | 2025-09-24 10:13:02
8 | 1 | TRANSACAO | R$ 5000.0 | 2025-09-24 10:13:13
9 | 1 | DEPOSITO | R$ 10000.0 | 2025-09-24 10:13:51
10 | 1 | SAQUE | R$ 100.0 | 2025-09-24 10:14:11
11 | 1 | SAQUE | R$ 5000.0 | 2025-09-24 10:14:16
12 | 1 | SAQUE | R$ 900.0 | 2025-09-24 10:14:21
13 | 1 | DEPOSITO | R$ 8000.0 | 2025-09-24 10:14:37
